market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"binance-eth-gbp-spot","2020-06-19T00:00:00.000000000Z","184.78","184.93","187.76","184.78","186.9046107529045","79.532","18354.2760905","93"
"binance-eth-gbp-spot","2020-06-20T00:00:00.000000000Z","184.93","185.33","186.31","182","184.6227552666699","71.01926","16160.6875615","116"
"binance-eth-gbp-spot","2020-06-21T00:00:00.000000000Z","185.33","184.1","186.54","184.04","185.7531436016337","54.39576","12505.38930425","108"
"binance-eth-gbp-spot","2020-06-22T00:00:00.000000000Z","184.1","194.5","198.47","184.1","193.6631658794513","74.50947","17926.9858576","150"
"binance-eth-gbp-spot","2020-06-23T00:00:00.000000000Z","194.5","194.15","196","193.64","194.705849592292","90.89348","22102.37640806","142"
"binance-eth-gbp-spot","2020-06-24T00:00:00.000000000Z","194.15","189.6","199","186.48","190.4510072364024","174.96816","41411.49514934","226"
"binance-eth-gbp-spot","2020-06-25T00:00:00.000000000Z","189.6","187.71","189.96","185.15","188.1813946142915","43.07994","10034.5732028","115"
"binance-eth-gbp-spot","2020-06-26T00:00:00.000000000Z","187.71","188.55","188.55","184.08","186.5175545517154","42.06513","9692.53695146","122"
"binance-eth-gbp-spot","2020-06-27T00:00:00.000000000Z","188.55","179.39","188.55","177.5","183.3257269352388","67.89188","15265.3352656","115"
"binance-eth-gbp-spot","2020-06-28T00:00:00.000000000Z","179.39","183.71","186.76","178.42","185.2237609509507","56.70284","12806.1309586","63"
"binance-eth-gbp-spot","2020-06-29T00:00:00.000000000Z","183.71","187.01","188.2","180.59","183.8897742805546","104.58647","23422.18790072","233"
"binance-eth-gbp-spot","2020-06-30T00:00:00.000000000Z","187.01","182.56","187.01","181.57","182.4354542111086","141.95965","31979.92310804","319"
"binance-eth-gbp-spot","2020-07-01T00:00:00.000000000Z","182.56","185.7","187.59","181","183.8197353411571","55.94183","12757.58462136","140"
"binance-eth-gbp-spot","2020-07-02T00:00:00.000000000Z","185.64","182.19","186.41","179.27","181.7825380085753","115.24965","26087.20298408","314"
"binance-eth-gbp-spot","2020-07-03T00:00:00.000000000Z","182.19","180.54","182.98","180.35","181.7653450250747","52.00651","11775.46640901","159"
"binance-eth-gbp-spot","2020-07-04T00:00:00.000000000Z","180.54","183.51","184.74","180.53","182.6788769650867","41.22846","9396.1727478","137"
