market,time,price_open,price_close,price_high,price_low,vwap,volume,candle_usd_volume,candle_trades_count
"bybit-btc-brl-spot","2024-06-28T00:00:00.000000000Z","250000","339023","340039","250000","338436.0459948262","0.87749","53059.4391019","382"
"bybit-btc-brl-spot","2024-06-29T00:00:00.000000000Z","339023","343200","343553","339023","341860.8258638181","0.16757","10188.0867177","113"
"bybit-btc-brl-spot","2024-06-30T00:00:00.000000000Z","343500","352766","353070","341573","346977.1630953767","0.17174","10583.7329755","86"
"bybit-btc-brl-spot","2024-07-01T00:00:00.000000000Z","352062","353823","359146","350471","354598.1029376642","0.96301","60771.0213098","177"
"bybit-btc-brl-spot","2024-07-02T00:00:00.000000000Z","353864","353605","357371","351537","353839.3067282267","1.19125","74066.7211003","155"
"bybit-btc-brl-spot","2024-07-03T00:00:00.000000000Z","354006","337706","354367","332841","343050.3858429963","2.72261","165417.1474968","431"
"bybit-btc-brl-spot","2024-07-04T00:00:00.000000000Z","338555","316976","338555","313024","321788.9136054501","5.18748","296187.7651378","890"
"bybit-btc-brl-spot","2024-07-05T00:00:00.000000000Z","317283","312858","318688","300002","308515.498199136","7.93508","439186.5426893","1212"
"bybit-btc-brl-spot","2024-07-06T00:00:00.000000000Z","312100","321152","322595","309270","314923.2779301614","0.9479","54031.9081156","188"
"bybit-btc-brl-spot","2024-07-07T00:00:00.000000000Z","321045","308669","321700","308669","316237.2768646249","0.73433","42086.565661","152"
"bybit-btc-brl-spot","2024-07-08T00:00:00.000000000Z","308996","313000","318900","300598","309764.4215582017","3.71441","208428.8612366","674"
"bybit-btc-brl-spot","2024-07-09T00:00:00.000000000Z","312381","317541","319154","312270","314762.2759765272","1.05143","60369.0874756","222"
"bybit-btc-brl-spot","2024-07-10T00:00:00.000000000Z","316900","315247","323800","311215","316286.1944397103","1.8776","108890.4868977","285"
"bybit-btc-brl-spot","2024-07-11T00:00:00.000000000Z","314065","313711","321337","311156","316661.8494703274","1.18847","69001.5749348","264"
"bybit-btc-brl-spot","2024-07-12T00:00:00.000000000Z","315310","329990","329994","310669","317050.9983779237","0.99872","57832.7312116","214"
"bybit-btc-brl-spot","2024-07-13T00:00:00.000000000Z","329986","324817","329986","315728","323435.5380595411","0.74436","43777.5851432","102"
"bybit-btc-brl-spot","2024-07-14T00:00:00.000000000Z","324857","333254","342185","324816","329212.6245391674","0.74322","44645.6385218","149"
"bybit-btc-brl-spot","2024-07-15T00:00:00.000000000Z","334806","353724","353724","334806","347176.647839996","2.41944","153477.731437","355"
"bybit-btc-brl-spot","2024-07-16T00:00:00.000000000Z","353457","355376","355377","339577","351240.1625032622","1.49437","96319.8490857","271"
"bybit-btc-brl-spot","2024-07-17T00:00:00.000000000Z","354507","353118","358493","351077","354559.9736093865","0.86167","55723.0942352","173"
"bybit-btc-brl-spot","2024-07-18T00:00:00.000000000Z","351731","356300","358848","351367","355311.1262037251","1.38736","89006.015394","221"
"bybit-btc-brl-spot","2024-07-19T00:00:00.000000000Z","354016","371500","376200","351092","366391.5748184422","2.76496","182131.9521855","555"
"bybit-btc-brl-spot","2024-07-20T00:00:00.000000000Z","371500","376106","378297","364328","372455.4238248366","2.57177","171688.5432992","618"
